Parlamentar_Limpo;codigo_emenda;numero_emenda;tipo_emenda;tipo_transferencia;localidade_aplicacao;tipo_localidade_aplicacao;municipio;municipio_normalizado;uf_localidade;valor_pago;programa_orcamentario;acao_orcamentaria;plano_orcamentario;funcao_area_atuacao;subfuncao_area_atuacao;modalidade_despesa;documento;favorecido;status_reconciliacao;ajuste_negativo;valor_zero
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;SANTO ANTÔNIO DA PATRULHA - RS;Municipal;SANTO ANTÔNIO DA PATRULHA;SANTO ANTONIO DA PATRULHA;RS;594000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB003083;88.814.199/0001-32 - MUNICIPIO DE SANTO ANTONIO DA PATRULHA;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580002;0002;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;PORTO ALEGRE - RS;Municipal;PORTO ALEGRE;PORTO ALEGRE;RS;500000.0;5118 - ATENCAO ESPECIALIZADA A SAUDE;2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;10 - Saúde;302 - Assistência hospitalar e ambulatorial;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB033501;11.358.235/0001-76 - FUNDO MUNICIPAL DE SAUDE;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;JAGUARI - RS;Municipal;JAGUARI;JAGUARI;RS;495000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB005513;87.572.046/0001-63 - MUNICIPIO DE JAGUARI;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;TRIUNFO - RS;Municipal;TRIUNFO;TRIUNFO;RS;495000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007674;88.363.189/0001-28 - MUNICIPIO DE TRIUNFO;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580007;0007;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;BOM PRINCÍPIO - RS;Municipal;BOM PRINCÍPIO;BOM PRINCIPIO;RS;481104.0;2319 - MOBILIDADE URBANA;00T1 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA;0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA;15 - Urbanismo;451 - infra-estrutura urbana;40 - Transferências a Municípios;175004000012026OB002246;90.873.787/0001-99 - MUNICIPIO DE BOM PRINCIPIO;Bate com Valor Pago + RP Pagos geral;False;False
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;CANGUÇU - RS;Municipal;CANGUÇU;CANGUCU;RS;445500.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB000549;88.861.430/0001-49 - MUNICIPIO DE CANGUCU;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580003;0003;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;MOSTARDAS - RS;Municipal;MOSTARDAS;MOSTARDAS;RS;400000.0;5119 - ATENCAO PRIMARIA A SAUDE;2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;10 - Saúde;301 - Atenção básica;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB025710;11.958.524/0001-06 - FUNDO MUNICIPAL DE SAUDE DA PREFEITURA MUNICIPAL DE MOSTARDAS;Bate com Valor Pago + RP Pagos geral;False;False
ALCEU MOREIRA;202528580003;0003;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;SÃO PEDRO DA SERRA - RS;Municipal;SÃO PEDRO DA SERRA;SAO PEDRO DA SERRA;RS;400000.0;5119 - ATENCAO PRIMARIA A SAUDE;2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;10 - Saúde;301 - Atenção básica;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB040364;97.535.719/0001-69 - FUNDO MUNICIPAL DA SAUDE;Bate com Valor Pago + RP Pagos geral;False;False
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;PAVERAMA - RS;Municipal;PAVERAMA;PAVERAMA;RS;396000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB000550;91.693.317/0001-06 - MUNICIPIO DE PAVERAMA;Bate com Valor Pago geral;False;False
ALCEU MOREIRA;202528580005;0005;Emenda Individual - Transferências Especiais;Transferência Especial;VIADUTOS - RS;Municipal;VIADUTOS;VIADUTOS;RS;396000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB000552;87.613.352/0001-09 - MUNICIPIO DE VIADUTOS;Bate com Valor Pago geral;False;False
