Localidade de aplicação do recurso;Ano da Emenda;Tipo de Emenda;Autor da Emenda;Número da Emenda;Código da Emenda;Favorecido;UF DO FAVORECIDO;MUNICÍPIO DO FAVORECIDO;UG;Órgão;Órgão Superior;Grupo de Despesa;Elemento de Despesa;Modalidade de Despesa;Plano Orçamentário;Programa Orçamentário;Ação Orçamentária;Subtítulo (Localizador);Função (Área de Atuação);Subfunção (Especificação da Área de Atuação);Possui Convênio?;Valor Empenhado;Valor Pago;Parlamentar_Limpo;codigo_ibge_mapa;codigo_ibge_ips;faixa_prioridade;QT_VOTOS;municipio;municipio_normalizado;tipo_destinacao;idhm;ivs;deficit_idhm;ips_prioridade;tipo_registro;fonte_territorializacao;status_reconciliacao;linhas_pagamento;codigos_distintos;parlamentares_distintos;observacao_metodologica
CAXIAS DO SUL - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 4 código(s);Agregado de 3 favorecido(s);RS;CAXIAS DO SUL;;;;;;;;;;;;;;0.0;10112051.66;MAURICIO MARCON;4305108;4305108;Baixa Prioridade;52135.0;CAXIAS DO SUL;CAXIAS DO SUL;Municipal;0.782;0.174;0.2179999999999999;0.1959999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;10.0;4.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BAGÉ - RS;2025;Pagamento detalhado municipalizado;REGINETE BISPO;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;BAGÉ;;;;;;;;;;;;;;0.0;5250000.0;REGINETE BISPO;4301602;4301602;Média Prioridade;57.0;BAGÉ;BAGE;Municipal;0.74;0.236;0.26;0.248;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO ALEGRE - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;PORTO ALEGRE;;;;;;;;;;;;;;0.0;3833500.0;ZUCCO;4314902;4314902;Baixa Prioridade;48536.0;PORTO ALEGRE;PORTO ALEGRE;Municipal;0.805;0.225;0.1949999999999999;0.2099999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;8.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO ALEGRE - RS;2025;Pagamento detalhado municipalizado;ANY ORTIZ;;Agregado municipal — 3 código(s);Agregado de 2 favorecido(s);RS;PORTO ALEGRE;;;;;;;;;;;;;;0.0;3634000.0;ANY ORTIZ;4314902;4314902;Baixa Prioridade;40549.0;PORTO ALEGRE;PORTO ALEGRE;Municipal;0.805;0.225;0.1949999999999999;0.2099999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;7.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SANTA MARIA - RS;2025;Pagamento detalhado municipalizado;REGINETE BISPO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SANTA MARIA;;;;;;;;;;;;;;0.0;2889806.04;REGINETE BISPO;4316907;4316907;Baixa Prioridade;123.0;SANTA MARIA;SANTA MARIA;Municipal;0.784;0.158;0.2159999999999999;0.187;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PELOTAS - RS;2025;Pagamento detalhado municipalizado;REGINETE BISPO;;Agregado municipal — 4 código(s);Agregado de 1 favorecido(s);RS;PELOTAS;;;;;;;;;;;;;;0.0;2650000.0;REGINETE BISPO;4314407;4314407;Baixa Prioridade;431.0;PELOTAS;PELOTAS;Municipal;0.739;0.2;0.261;0.2305;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;6.0;4.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO ALEGRE - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;PORTO ALEGRE;;;;;;;;;;;;;;0.0;2500000.0;DANRLEI DE DEUS HINTERHOLZ;4314902;4314902;Baixa Prioridade;9439.0;PORTO ALEGRE;PORTO ALEGRE;Municipal;0.805;0.225;0.1949999999999999;0.2099999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
ALVORADA - RS;2025;Pagamento detalhado municipalizado;ANY ORTIZ;;Agregado municipal — 3 código(s);Agregado de 2 favorecido(s);RS;ALVORADA;;;;;;;;;;;;;;0.0;2264550.15;ANY ORTIZ;4300604;4300604;Alta Prioridade;3895.0;ALVORADA;ALVORADA;Municipal;0.699;0.324;0.301;0.3125;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;6.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
FARROUPILHA - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 3 código(s);Agregado de 2 favorecido(s);RS;FARROUPILHA;;;;;;;;;;;;;;0.0;2156000.0;MAURICIO MARCON;4307906;4307906;Baixa Prioridade;4472.0;FARROUPILHA;FARROUPILHA;Municipal;0.777;0.142;0.2229999999999999;0.1825;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO ALEGRE - RS;2025;Pagamento detalhado municipalizado;FERNANDA MELCHIONNA;;Agregado municipal — 3 código(s);Agregado de 2 favorecido(s);RS;PORTO ALEGRE;;;;;;;;;;;;;;0.0;2059459.0;FERNANDA MELCHIONNA;4314902;4314902;Baixa Prioridade;91749.0;PORTO ALEGRE;PORTO ALEGRE;Municipal;0.805;0.225;0.1949999999999999;0.2099999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;5.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
